veiculos,coleta_ts
"{'codigo': '901004', 'placa': 'RJQ8J80', 'linha': '53', 'latitude': -22.965711, 'longitude': -43.391374, 'dataHora': 1747866842000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 204934.6, 'direcao': 149, 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902095', 'placa': '', 'linha': '40', 'latitude': -22.941101, 'longitude': -43.372513, 'dataHora': 1747872524000, 'velocidade': 46.1, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 101297.6, 'direcao': 3, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902375', 'placa': '', 'linha': '60', 'latitude': -22.848711, 'longitude': -43.397211, 'dataHora': 1747872530000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '60 - TERMINAL DEODORO X TIG (PARADOR) [IDA]', 'hodometro': 24962.4, 'direcao': 273, 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': 'KXM6403 SAVEIRO', 'placa': 'KXM6403', 'linha': '0', 'latitude': -23.000761, 'longitude': -43.363578, 'dataHora': 1747872119000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 20799.3, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902090', 'placa': '', 'linha': '40', 'latitude': -23.002516, 'longitude': -43.366056, 'dataHora': 1747871930000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 103796.4, 'direcao': ' ', 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': 'KRA7040 - GOL', 'placa': 'KRA7040', 'linha': '0', 'latitude': -23.001002, 'longitude': -43.363831, 'dataHora': 1747869641000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 50783.4, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902334', 'placa': '', 'linha': '71', 'latitude': -22.849316, 'longitude': -43.397915, 'dataHora': 1747872542000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '71 - VIGÁRIO GERAL / PRAÇA DOIS X TIG (EXPRESSO) [iDA]', 'hodometro': 11209.7, 'direcao': 114, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': 'LSG7008 ACELLO INFRA', 'placa': 'LSG7008', 'linha': '0', 'latitude': -22.964554, 'longitude': -43.391436, 'dataHora': 1737230583000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 49467.5, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': 'KXE9191 PKP', 'placa': 'KXE9191', 'linha': '0', 'latitude': -22.971587, 'longitude': -43.400205, 'dataHora': 1747871326000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 19408.4, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901057', 'placa': '', 'linha': '35', 'latitude': -22.960579, 'longitude': -43.389903, 'dataHora': 1747872529000, 'velocidade': 13.7, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA]', 'hodometro': 232129.7, 'direcao': 25, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901003', 'placa': 'RKM8C54', 'linha': '22', 'latitude': -23.00003, 'longitude': -43.352152, 'dataHora': 1747872523000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 188685.3, 'direcao': 84, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902455', 'placa': '', 'linha': '46', 'latitude': -22.841201, 'longitude': -43.276146, 'dataHora': 1747872513000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '46 - PENHA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 83035, 'direcao': 289, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': 'KWB9798 - APOIO VAN', 'placa': 'KWB9798', 'linha': '0', 'latitude': -23.000773, 'longitude': -43.364945, 'dataHora': 1747871113000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 9434, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901002', 'placa': '', 'linha': '22', 'latitude': -23.001017, 'longitude': -43.364419, 'dataHora': 1747870018000, 'velocidade': 14.5, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 162173.4, 'direcao': 252, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902313', 'placa': '', 'linha': '60', 'latitude': -22.848751, 'longitude': -43.39756, 'dataHora': 1747871544000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '60 - TERMINAL DEODORO X TIG (PARADOR) [IDA]', 'hodometro': 10150.1, 'direcao': 110, 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902103', 'placa': '', 'linha': '41', 'latitude': -22.876591, 'longitude': -43.329599, 'dataHora': 1747872145000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 116468.9, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901001', 'placa': 'RJD7J89', 'linha': '22', 'latitude': -22.973308, 'longitude': -43.371466, 'dataHora': 1747872522000, 'velocidade': 48.5, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 174677.8, 'direcao': 270, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901050', 'placa': '', 'linha': '35', 'latitude': -23.000868, 'longitude': -43.366691, 'dataHora': 1747872474000, 'velocidade': 19.5, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA]', 'hodometro': 196592, 'direcao': 53, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901077', 'placa': '', 'linha': '52', 'latitude': -22.964487, 'longitude': -43.392037, 'dataHora': 1747872143000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 165950.5, 'direcao': 346, 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903045', 'placa': '', 'linha': '17', 'latitude': -22.919406, 'longitude': -43.607828, 'dataHora': 1747871941000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA]', 'hodometro': 85783.2, 'direcao': 169, 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902119', 'placa': '', 'linha': '40', 'latitude': -22.876349, 'longitude': -43.330032, 'dataHora': 1747870857000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 112390.7, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901058', 'placa': '', 'linha': '51', 'latitude': -22.964829, 'longitude': -43.392176, 'dataHora': 1747871277000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 237040, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902105', 'placa': '', 'linha': '40', 'latitude': -22.900691, 'longitude': -43.354336, 'dataHora': 1747872533000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 108714.7, 'direcao': 33, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901071', 'placa': '', 'linha': '52', 'latitude': -22.951774, 'longitude': -43.389898, 'dataHora': 1747872534000, 'velocidade': 54.4, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 231937.2, 'direcao': 195, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903027', 'placa': '', 'linha': '42', 'latitude': -22.839532, 'longitude': -43.239666, 'dataHora': 1747872511000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA]', 'hodometro': 19947.9, 'direcao': 143, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901066', 'placa': '', 'linha': '22', 'latitude': -23.001216, 'longitude': -43.329128, 'dataHora': 1747872536000, 'velocidade': 23.1, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 221023.7, 'direcao': 291, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903026', 'placa': '', 'linha': '38', 'latitude': -22.877048, 'longitude': -43.329797, 'dataHora': 1744861582000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '38 - FUNDÃO X ALVORADA (PARADOR) [IDA]', 'hodometro': 222715.5, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903029', 'placa': '', 'linha': '42', 'latitude': -22.852368, 'longitude': -43.316011, 'dataHora': 1747872541000, 'velocidade': 42.4, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA]', 'hodometro': 170722.5, 'direcao': 82, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902116', 'placa': '', 'linha': '41', 'latitude': -22.896714, 'longitude': -43.351427, 'dataHora': 1747872529000, 'velocidade': 32.5, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 118428.5, 'direcao': 34, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902115', 'placa': '', 'linha': '0', 'latitude': -22.876017, 'longitude': -43.329414, 'dataHora': 1725089581000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 54751.3, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903028', 'placa': '', 'linha': '42', 'latitude': -22.876668, 'longitude': -43.329591, 'dataHora': 1747870507000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA]', 'hodometro': 232014.8, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901061', 'placa': '', 'linha': '51', 'latitude': -22.964476, 'longitude': -43.391749, 'dataHora': 1747872445000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 264450.7, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903030', 'placa': '', 'linha': '42', 'latitude': -22.817409, 'longitude': -43.23895, 'dataHora': 1747872533000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA]', 'hodometro': 0, 'direcao': 302, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '903057', 'placa': '', 'linha': '17', 'latitude': -22.920533, 'longitude': -43.60797, 'dataHora': 1687766399000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA]', 'hodometro': 12199.8, 'direcao': ' ', 'ignicao': None}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901051', 'placa': '', 'linha': '53', 'latitude': -23.001404, 'longitude': -43.367181, 'dataHora': 1747871996000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA]', 'hodometro': 175217.4, 'direcao': 94, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901064', 'placa': '', 'linha': '35', 'latitude': -22.959502, 'longitude': -43.387387, 'dataHora': 1747872532000, 'velocidade': 44.1, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 250080.3, 'direcao': 255, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '902107', 'placa': '', 'linha': '40', 'latitude': -22.876342, 'longitude': -43.329925, 'dataHora': 1747870042000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 115603.9, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901049', 'placa': '', 'linha': '35', 'latitude': -22.972509, 'longitude': -43.386247, 'dataHora': 1747872514000, 'velocidade': 36.8, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 121307.9, 'direcao': 127, 'ignicao': 1}",2025-05-22 00:09:05.769635+00:00
"{'codigo': '901073', 'placa': '', 'linha': '53', 'latitude': -22.964753, 'longitude': -43.391532, 'dataHora': 1747871858000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 48132, 'direcao': ' ', 'ignicao': 0}",2025-05-22 00:09:05.769635+00:00
