veiculos,coleta_ts
"{'codigo': '901004', 'placa': 'RJQ8J80', 'linha': '53', 'latitude': -22.97338, 'longitude': -43.369828, 'dataHora': 1749232572000, 'velocidade': 58.8, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '53 - SULACAP X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 209534.6, 'direcao': 91, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '902095', 'placa': '', 'linha': '41', 'latitude': -23.008482, 'longitude': -43.439846, 'dataHora': 1749232577000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 103338.8, 'direcao': ' ', 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '902375', 'placa': '', 'linha': '61', 'latitude': -22.820757, 'longitude': -43.323998, 'dataHora': 1749232334000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA]', 'hodometro': 28662.9, 'direcao': 118, 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': 'KXM6403 SAVEIRO', 'placa': 'KXM6403', 'linha': '0', 'latitude': -23.000528, 'longitude': -43.363741, 'dataHora': 1749231708000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 21062.3, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '902090', 'placa': '', 'linha': '46', 'latitude': -23.001369, 'longitude': -43.366174, 'dataHora': 1749214018000, 'velocidade': 17.7, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '46 - ALVORADA X PENHA (EXPRESSO) [VOLTA]', 'hodometro': 106381.7, 'direcao': 93, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': 'KRA7040 - GOL', 'placa': 'KRA7040', 'linha': '0', 'latitude': -23.000994, 'longitude': -43.363813, 'dataHora': 1749231106000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 51579.1, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '902334', 'placa': '', 'linha': '80', 'latitude': -22.898544, 'longitude': -43.211477, 'dataHora': 1749232561000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '80 - TIG X PENHA (PARADOR) [VOLTA]', 'hodometro': 16024.9, 'direcao': 136, 'ignicao': 1}",2025-06-06 17:56:37.219237+00:00
"{'codigo': 'LSG7008 ACELLO INFRA', 'placa': 'LSG7008', 'linha': '0', 'latitude': -22.964921, 'longitude': -43.391251, 'dataHora': 1749227057000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 49469.2, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': 'KXE9191 PKP', 'placa': 'KXE9191', 'linha': '0', 'latitude': -22.971459, 'longitude': -43.400551, 'dataHora': 1749232145000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 19408.4, 'direcao': ' ', 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
"{'codigo': '901057', 'placa': '', 'linha': '52', 'latitude': -23.002233, 'longitude': -43.366921, 'dataHora': 1749212917000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA]', 'hodometro': 236273.5, 'direcao': 221, 'ignicao': 0}",2025-06-06 17:56:37.219237+00:00
