veiculos,coleta_ts
"{'codigo': '901008', 'placa': '', 'linha': '22', 'latitude': -22.972145, 'longitude': -43.401206, 'dataHora': 1749162431000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 176280.6, 'direcao': ' ', 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901011', 'placa': 'RIV8A74', 'linha': '35', 'latitude': -22.896669, 'longitude': -43.351351, 'dataHora': 1749163270000, 'velocidade': 25.8, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 189717.1, 'direcao': 219, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901018', 'placa': '', 'linha': '22', 'latitude': -23.00102, 'longitude': -43.364935, 'dataHora': 1749161125000, 'velocidade': 16.2, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 157296.9, 'direcao': 278, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901012', 'placa': '', 'linha': '51', 'latitude': -22.964575, 'longitude': -43.391931, 'dataHora': 1749163275000, 'velocidade': 15.7, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 155778.2, 'direcao': 13, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901014', 'placa': '', 'linha': '22', 'latitude': -23.000755, 'longitude': -43.367042, 'dataHora': 1749160404000, 'velocidade': 16.4, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 189019.8, 'direcao': 200, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901007', 'placa': '', 'linha': '22', 'latitude': -23.00666, 'longitude': -43.312428, 'dataHora': 1749163273000, 'velocidade': 15, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 180350.4, 'direcao': 247, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901009', 'placa': '', 'linha': '35', 'latitude': -22.877829, 'longitude': -43.336418, 'dataHora': 1749163277000, 'velocidade': 17.2, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 143973.5, 'direcao': 296, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901013', 'placa': '', 'linha': '51', 'latitude': -22.911896, 'longitude': -43.400908, 'dataHora': 1749163248000, 'velocidade': 49.8, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 179876.6, 'direcao': 356, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901010', 'placa': 'RJM8G30', 'linha': '35', 'latitude': -23.001299, 'longitude': -43.364191, 'dataHora': 1749162903000, 'velocidade': 9.1, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA]', 'hodometro': 193778.5, 'direcao': 14, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901015', 'placa': '', 'linha': '52', 'latitude': -22.965179, 'longitude': -43.391847, 'dataHora': 1749160501000, 'velocidade': 0.1, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 194791.5, 'direcao': 151, 'ignicao': 0}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901047', 'placa': '', 'linha': '52', 'latitude': -22.853914, 'longitude': -43.383464, 'dataHora': 1749163270000, 'velocidade': 17.4, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 64320.7, 'direcao': 21, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901017', 'placa': '', 'linha': '22', 'latitude': -22.999994, 'longitude': -43.361454, 'dataHora': 1749163267000, 'velocidade': 10.2, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 160365.1, 'direcao': 261, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901063', 'placa': '', 'linha': '22', 'latitude': -23.000876, 'longitude': -43.364347, 'dataHora': 1749162879000, 'velocidade': 15.8, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 251219.9, 'direcao': 186, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '902319', 'placa': '', 'linha': '60', 'latitude': -22.849571, 'longitude': -43.398587, 'dataHora': 1749161697000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '60 - TERMINAL DEODORO X TIG (PARADOR) [IDA]', 'hodometro': 17204.7, 'direcao': 202, 'ignicao': 0}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901006', 'placa': 'RJA9F56', 'linha': '22', 'latitude': -23.000657, 'longitude': -43.365814, 'dataHora': 1749161536000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA]', 'hodometro': 182833.8, 'direcao': 91, 'ignicao': 1}",2025-06-05 22:41:29.087105+00:00
"{'codigo': '901005', 'placa': 'RJB8E53', 'linha': '51', 'latitude': -22.965339, 'longitude': -43.391771, 'dataHora': 1749162722000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA]', 'hodometro': 226349.5, 'direcao': 191, 'ignicao': 0}",2025-06-05 22:41:29.087105+00:00
