veiculos,coleta_ts
"{'codigo': '901004', 'placa': 'RJQ8J80', 'linha': '53', 'latitude': -23.001403, 'longitude': -43.367599, 'dataHora': 1749237591000, 'velocidade': 24, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA]', 'hodometro': 209579.4, 'direcao': 88, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902095', 'placa': '', 'linha': '41', 'latitude': -22.879033, 'longitude': -43.340876, 'dataHora': 1749237756000, 'velocidade': 28.9, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA]', 'hodometro': 103358.5, 'direcao': 78, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902375', 'placa': '', 'linha': '61', 'latitude': -22.899311, 'longitude': -43.211489, 'dataHora': 1749237711000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '61 - TIG  X  TERMINAL DEODORO (EXPRESSO) [VOLTA]', 'hodometro': 28680.6, 'direcao': 133, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': 'KXM6403 SAVEIRO', 'placa': 'KXM6403', 'linha': '0', 'latitude': -23.000528, 'longitude': -43.363741, 'dataHora': 1749235297000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 21062.3, 'direcao': ' ', 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902090', 'placa': '', 'linha': '40', 'latitude': -22.936672, 'longitude': -43.371789, 'dataHora': 1749237756000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA]', 'hodometro': 106395.8, 'direcao': 10, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': 'KRA7040 - GOL', 'placa': 'KRA7040', 'linha': '0', 'latitude': -23.000994, 'longitude': -43.363813, 'dataHora': 1749234703000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 51579.1, 'direcao': ' ', 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '902334', 'placa': '', 'linha': '80', 'latitude': -22.898586, 'longitude': -43.211417, 'dataHora': 1749237417000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '80 - TIG X PENHA (PARADOR) [VOLTA]', 'hodometro': 16048.3, 'direcao': 118, 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': 'LSG7008 ACELLO INFRA', 'placa': 'LSG7008', 'linha': '0', 'latitude': -22.96519, 'longitude': -43.391875, 'dataHora': 1749237775000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 49469.2, 'direcao': ' ', 'ignicao': 1}",2025-06-06 19:23:00.797760+00:00
"{'codigo': 'KXE9191 PKP', 'placa': 'KXE9191', 'linha': '0', 'latitude': -22.971341, 'longitude': -43.400612, 'dataHora': 1749236607000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': '', 'trajeto': '', 'hodometro': 19408.4, 'direcao': ' ', 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
"{'codigo': '901057', 'placa': '', 'linha': '52', 'latitude': -23.002233, 'longitude': -43.366921, 'dataHora': 1749212917000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA]', 'hodometro': 236273.5, 'direcao': 221, 'ignicao': 0}",2025-06-06 19:23:00.797760+00:00
