veiculos,coleta_ts
"{'codigo': '901008', 'placa': '', 'linha': '22', 'latitude': -23.006784, 'longitude': -43.313043, 'dataHora': 1749159870000, 'velocidade': 1.3, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 176266.6, 'direcao': 90, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901011', 'placa': 'RIV8A74', 'linha': '35', 'latitude': -22.955224, 'longitude': -43.377266, 'dataHora': 1749159869000, 'velocidade': 15.7, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA]', 'hodometro': 189703.4, 'direcao': 46, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901018', 'placa': '', 'linha': '22', 'latitude': -23.006569, 'longitude': -43.312751, 'dataHora': 1749159875000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 157290.8, 'direcao': 266, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901012', 'placa': '', 'linha': '51', 'latitude': -22.864082, 'longitude': -43.404787, 'dataHora': 1749159879000, 'velocidade': 57.6, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '51 - T. DEODORO X T. RECREIO (PARADOR) [IDA]', 'hodometro': 155749.6, 'direcao': 249, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901014', 'placa': '', 'linha': '22', 'latitude': -23.000495, 'longitude': -43.335382, 'dataHora': 1749159863000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 189016.5, 'direcao': 275, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901007', 'placa': '', 'linha': '22', 'latitude': -23.000097, 'longitude': -43.366364, 'dataHora': 1749159733000, 'velocidade': 33.9, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA]', 'hodometro': 180330.7, 'direcao': 269, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901009', 'placa': '', 'linha': '35', 'latitude': -22.97291, 'longitude': -43.385726, 'dataHora': 1749159873000, 'velocidade': 32, 'id_migracao_trajeto': '', 'sentido': 'volta', 'trajeto': '35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA]', 'hodometro': 143959.7, 'direcao': 323, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901013', 'placa': '', 'linha': '51', 'latitude': -22.961046, 'longitude': -43.391955, 'dataHora': 1749159868000, 'velocidade': 49.1, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '51 - T. DEODORO X T. RECREIO (PARADOR) [IDA]', 'hodometro': 179855.7, 'direcao': 200, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901010', 'placa': 'RJM8G30', 'linha': '35', 'latitude': -22.918767, 'longitude': -43.365719, 'dataHora': 1749159865000, 'velocidade': 39.8, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '35 - MADUREIRA X ALVORADA (PARADOR) [IDA]', 'hodometro': 193763.6, 'direcao': 239, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
"{'codigo': '901015', 'placa': '', 'linha': '52', 'latitude': -22.965227, 'longitude': -43.391223, 'dataHora': 1749159875000, 'velocidade': 0, 'id_migracao_trajeto': '', 'sentido': 'ida', 'trajeto': '52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA]', 'hodometro': 194791.4, 'direcao': 242, 'ignicao': 1}",2025-06-05 21:44:49.698086+00:00
